,drugbank_id,name,smiles,inchi,groups,drug_type,atc_codes
DB12035,DB12035,Sarecycline,[H][C@@]12CC3=C(CN(C)OC)C=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,"InChI=1S/C24H29N3O8/c1-26(2)18-13-8-11-7-12-10(9-27(3)35-4)5-6-14(28)16(12)19(29)15(11)21(31)24(13,34)22(32)17(20(18)30)23(25)33/h5-6,11,13,18,28,30-31,34H,7-9H2,1-4H3,(H2,25,33)/t11-,13-,18-,24-/m0/s1",['approved'],small molecule,"['J01AA14', 'J01AA20']"
DB00291,DB00291,Chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,"InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)","['approved', 'investigational']",small molecule,['L01AA02']
DB12478,DB12478,Piribedil,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,"InChI=1S/C16H18N4O2/c1-4-17-16(18-5-1)20-8-6-19(7-9-20)11-13-2-3-14-15(10-13)22-12-21-14/h1-5,10H,6-9,11-12H2",['investigational'],small molecule,['N04BC08']
DB06594,DB06594,Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,"InChI=1S/C15H17NO2/c1-11(17)16-9-8-13-5-3-4-12-6-7-14(18-2)10-15(12)13/h3-7,10H,8-9H2,1-2H3,(H,16,17)","['approved', 'investigational']",small molecule,['N06AX22']
DB11708,DB11708,Peficitinib,NC(=O)C1=CN=C2NC=CC2=C1N[C@H]1[C@H]2CC3C[C@@H]1C[C@@](O)(C3)C2,"InChI=1S/C18H22N4O2/c19-16(23)13-8-21-17-12(1-2-20-17)15(13)22-14-10-3-9-4-11(14)7-18(24,5-9)6-10/h1-2,8-11,14,24H,3-7H2,(H2,19,23)(H2,20,21,22)/t9?,10-,11+,14-,18+",['investigational'],small molecule,['L04AF06']
DB06809,DB06809,Plerixafor,C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,"InChI=1S/C28H54N8/c1-9-29-15-17-31-13-3-21-35(23-19-33-11-1)25-27-5-7-28(8-6-27)26-36-22-4-14-32-18-16-30-10-2-12-34-20-24-36/h5-8,29-34H,1-4,9-26H2","['approved', 'investigational']",small molecule,['L03AX16']
DB00287,DB00287,Travoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,"InChI=1S/C26H35F3O6/c1-17(2)35-25(33)11-6-4-3-5-10-21-22(24(32)15-23(21)31)13-12-19(30)16-34-20-9-7-8-18(14-20)26(27,28)29/h3,5,7-9,12-14,17,19,21-24,30-32H,4,6,10-11,15-16H2,1-2H3/b5-3-,13-12+/t19-,21-,22-,23+,24-/m1/s1","['approved', 'investigational']",small molecule,['S01EE04']
DB08936,DB08936,Chlorcyclizine,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"InChI=1S/C18H21ClN2/c1-20-11-13-21(14-12-20)18(15-5-3-2-4-6-15)16-7-9-17(19)10-8-16/h2-10,18H,11-14H2,1H3",['approved'],small molecule,['R06AE04']
DB13715,DB13715,Dilazep,COC1=CC(=CC(OC)=C1OC)C(=O)OCCCN1CCCN(CCCOC(=O)C2=CC(OC)=C(OC)C(OC)=C2)CC1,"InChI=1S/C31H44N2O10/c1-36-24-18-22(19-25(37-2)28(24)40-5)30(34)42-16-8-12-32-10-7-11-33(15-14-32)13-9-17-43-31(35)23-20-26(38-3)29(41-6)27(21-23)39-4/h18-21H,7-17H2,1-6H3",['experimental'],small molecule,['C01DX10']
DB14975,DB14975,Voxelotor,CC(C)N1N=CC=C1C1=C(COC2=CC=CC(O)=C2C=O)C=CC=N1,"InChI=1S/C19H19N3O3/c1-13(2)22-16(8-10-21-22)19-14(5-4-9-20-19)12-25-18-7-3-6-17(24)15(18)11-23/h3-11,13,24H,12H2,1-2H3",['approved'],small molecule,['B06AX03']
