,drugbank_id,name,smiles,inchi,groups,drug_type,atc_codes
DB11732,DB11732,Lasmiditan,CN1CCC(CC1)C(=O)C1=CC=CC(NC(=O)C2=C(F)C=C(F)C=C2F)=N1,"InChI=1S/C19H18F3N3O2/c1-25-7-5-11(6-8-25)18(26)15-3-2-4-16(23-15)24-19(27)17-13(21)9-12(20)10-14(17)22/h2-4,9-11H,5-8H2,1H3,(H,23,24,27)","['approved', 'investigational']",small molecule,['N02CC08']
DB13751,DB13751,Glycyrrhizic acid,[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]1(C)C2=CC(=O)[C@]2([H])[C@@]3(C)CC[C@H](O[C@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)C(O)=O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,"InChI=1S/C42H62O16/c1-37(2)21-8-11-42(7)31(20(43)16-18-19-17-39(4,36(53)54)13-12-38(19,3)14-15-41(18,42)6)40(21,5)10-9-22(37)55-35-30(26(47)25(46)29(57-35)33(51)52)58-34-27(48)23(44)24(45)28(56-34)32(49)50/h16,19,21-31,34-35,44-48H,8-15,17H2,1-7H3,(H,49,50)(H,51,52)(H,53,54)/t19-,21-,22-,23-,24-,25-,26-,27+,28-,29-,30+,31+,34-,35-,38+,39-,40-,41+,42+/m0/s1","['approved', 'investigational']",small molecule,['A05BA08']
DB08895,DB08895,Tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,"InChI=1S/C16H20N6O/c1-11-5-8-22(14(23)3-6-17)9-13(11)21(2)16-12-4-7-18-15(12)19-10-20-16/h4,7,10-11,13H,3,5,8-9H2,1-2H3,(H,18,19,20)/t11-,13+/m1/s1","['approved', 'investigational']",small molecule,['L04AF01']
DB08967,DB08967,Dimetotiazine,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(=O)(=O)N(C)C)N(C)C,"InChI=1S/C19H25N3O2S2/c1-14(20(2)3)13-22-16-8-6-7-9-18(16)25-19-11-10-15(12-17(19)22)26(23,24)21(4)5/h6-12,14H,13H2,1-5H3",['approved'],small molecule,['N02CX05']
DB13737,DB13737,Cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,"InChI=1S/C12H16N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h6H,2-5,7H2,1H3,(H2,13,14,15,16,17)",['experimental'],small molecule,['N05CA10']
DB00782,DB00782,Propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,"InChI=1S/C23H30NO3/c1-16(2)24(5,17(3)4)14-15-26-23(25)22-18-10-6-8-12-20(18)27-21-13-9-7-11-19(21)22/h6-13,16-17,22H,14-15H2,1-5H3/q+1",['approved'],small molecule,"['A03AB05', 'A03CA34']"
DB00614,DB00614,Furazolidone,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CCOC1=O,"InChI=1S/C8H7N3O5/c12-8-10(3-4-15-8)9-5-6-1-2-7(16-6)11(13)14/h1-2,5H,3-4H2/b9-5+","['investigational', 'vet_approved']",small molecule,"['G01AX06', 'P01AB51']"
DB13481,DB13481,Tenidap,NC(=O)N1C(=O)\C(=C(/O)C2=CC=CS2)C2=C1C=CC(Cl)=C2,"InChI=1S/C14H9ClN2O3S/c15-7-3-4-9-8(6-7)11(13(19)17(9)14(16)20)12(18)10-2-1-5-21-10/h1-6,18H,(H2,16,20)/b12-11-",['experimental'],small molecule,['M01AX23']
DB13370,DB13370,Bromisoval,CC(C)C(Br)C(=O)NC(N)=O,"InChI=1S/C6H11BrN2O2/c1-3(2)4(7)5(10)9-6(8)11/h3-4H,1-2H3,(H3,8,9,10,11)",['experimental'],small molecule,['N05CM03']
DB13274,DB13274,Micronomicin,CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1,"InChI=1S/C20H41N5O7/c1-20(28)8-29-19(14(27)17(20)25-3)32-16-12(23)6-11(22)15(13(16)26)31-18-10(21)5-4-9(30-18)7-24-2/h9-19,24-28H,4-8,21-23H2,1-3H3/t9-,10+,11-,12+,13-,14+,15+,16-,17+,18+,19+,20-/m0/s1",['approved'],small molecule,['S01AA22']
DB00544,DB00544,Fluorouracil,FC1=CNC(=O)NC1=O,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)","['approved', 'investigational']",small molecule,"['L01BC52', 'L01BC02']"
DB16267,DB16267,Olutasidenib,C[C@H](NC1=CC=C(C#N)N(C)C1=O)C1=CC2=C(NC1=O)C=CC(Cl)=C2,"InChI=1S/C18H15ClN4O2/c1-10(21-16-6-4-13(9-20)23(2)18(16)25)14-8-11-7-12(19)3-5-15(11)22-17(14)24/h3-8,10,21H,1-2H3,(H,22,24)/t10-/m0/s1","['approved', 'investigational']",small molecule,['L01XM03']
DB00385,DB00385,Valrubicin,[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1,"InChI=1S/C34H36F3NO13/c1-4-5-9-21(40)49-13-20(39)33(47)11-16-24(19(12-33)51-22-10-17(27(41)14(2)50-22)38-32(46)34(35,36)37)31(45)26-25(29(16)43)28(42)15-7-6-8-18(48-3)23(15)30(26)44/h6-8,14,17,19,22,27,41,43,45,47H,4-5,9-13H2,1-3H3,(H,38,46)/t14-,17-,19-,22-,27+,33-/m0/s1",['approved'],small molecule,['L01DB09']
DB16607,DB16607,Lithium chloride,[Li]Cl,InChI=1S/ClH.Li/h1H;/q;+1/p-1,['investigational'],small molecule,['V04CX11']
DB00229,DB00229,Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,"InChI=1S/C18H23N9O4S3/c1-25(2)3-4-26-18(22-23-24-26)34-7-9-6-32-15-12(14(29)27(15)13(9)16(30)31)21-11(28)5-10-8-33-17(19)20-10/h8,12,15H,3-7H2,1-2H3,(H2,19,20)(H,21,28)(H,30,31)/t12-,15-/m1/s1",['approved'],small molecule,['J01DC07']
DB06723,DB06723,Aluminum hydroxide,[OH-].[OH-].[OH-].[Al+3],InChI=1S/Al.3H2O/h;3*1H2/q+3;;;/p-3,"['approved', 'investigational']",small molecule,"['A02AB02', 'A02AB01', 'A02AD03']"
DB13405,DB13405,Mefruside,CN(CC1(C)CCCO1)S(=O)(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,"InChI=1S/C13H19ClN2O5S2/c1-13(6-3-7-21-13)9-16(2)23(19,20)10-4-5-11(14)12(8-10)22(15,17)18/h4-5,8H,3,6-7,9H2,1-2H3,(H2,15,17,18)",['experimental'],small molecule,"['C03BB05', 'C03BA05']"
DB13707,DB13707,Sodium tartrate,[Na+].[Na+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,"InChI=1S/C4H6O6.2Na/c5-1(3(7)8)2(6)4(9)10;;/h1-2,5-6H,(H,7,8)(H,9,10);;/q;2*+1/p-2/t1-,2-;;/m1../s1","['approved', 'withdrawn']",small molecule,['A06AD21']
DB13324,DB13324,Tetrazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CCCCC1,"InChI=1S/C16H17ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h5,7-9H,2-4,6,10H2,1H3",['experimental'],small molecule,['M03BX07']
DB01226,DB01226,Mivacurium,COC1=CC(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,"InChI=1S/C58H80N2O14/c1-59(25-21-41-35-47(63-3)49(65-5)37-43(41)45(59)29-39-31-51(67-7)57(71-11)52(32-39)68-8)23-17-27-73-55(61)19-15-13-14-16-20-56(62)74-28-18-24-60(2)26-22-42-36-48(64-4)50(66-6)38-44(42)46(60)30-40-33-53(69-9)58(72-12)54(34-40)70-10/h13-14,31-38,45-46H,15-30H2,1-12H3/q+2/b14-13+/t45-,46-,59?,60?/m1/s1","['approved', 'investigational', 'withdrawn']",small molecule,['M03AC10']
DB11363,DB11363,Alectinib,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,"InChI=1S/C30H34N4O2/c1-4-20-16-23-24(17-26(20)34-9-7-21(8-10-34)33-11-13-36-14-12-33)30(2,3)29-27(28(23)35)22-6-5-19(18-31)15-25(22)32-29/h5-6,15-17,21,32H,4,7-14H2,1-3H3","['approved', 'investigational']",small molecule,['L01ED03']
DB00904,DB00904,Ondansetron,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,"InChI=1S/C18H19N3O/c1-12-19-9-10-21(12)11-13-7-8-16-17(18(13)22)14-5-3-4-6-15(14)20(16)2/h3-6,9-10,13H,7-8,11H2,1-2H3","['approved', 'investigational', 'withdrawn']",small molecule,['A04AA01']
DB00711,DB00711,Diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,"InChI=1S/C10H21N3O/c1-4-12(5-2)10(14)13-8-6-11(3)7-9-13/h4-9H2,1-3H3","['approved', 'investigational', 'vet_approved', 'withdrawn']",small molecule,['P02CB02']
DB11682,DB11682,Daprodustat,OC(=O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,"InChI=1S/C19H27N3O6/c23-14(24)11-20-16(25)15-17(26)21(12-7-3-1-4-8-12)19(28)22(18(15)27)13-9-5-2-6-10-13/h12-13,15H,1-11H2,(H,20,25)(H,23,24)",['approved'],small molecule,['B03XA07']
DB12465,DB12465,Ketanserin,FC1=CC=C(C=C1)C(=O)C1CCN(CCN2C(=O)NC3=CC=CC=C3C2=O)CC1,"InChI=1S/C22H22FN3O3/c23-17-7-5-15(6-8-17)20(27)16-9-11-25(12-10-16)13-14-26-21(28)18-3-1-2-4-19(18)24-22(26)29/h1-8,16H,9-14H2,(H,24,29)",['investigational'],small molecule,['C02KD01']
DB13642,DB13642,Pridinol,OC(CCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C20H25NO/c22-20(18-10-4-1-5-11-18,19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1-2,4-7,10-13,22H,3,8-9,14-17H2",['investigational'],small molecule,"['M03BX03', 'M03BX53']"
DB00238,DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,"InChI=1S/C15H14N4O/c1-9-6-8-17-14-12(9)18-15(20)11-3-2-7-16-13(11)19(14)10-4-5-10/h2-3,6-8,10H,4-5H2,1H3,(H,18,20)","['approved', 'investigational']",small molecule,"['J05AG01', 'J05AR05', 'J05AR07']"
DB00731,DB00731,Nateglinide,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,"InChI=1S/C19H27NO3/c1-13(2)15-8-10-16(11-9-15)18(21)20-17(19(22)23)12-14-6-4-3-5-7-14/h3-7,13,15-17H,8-12H2,1-2H3,(H,20,21)(H,22,23)/t15-,16-,17-/m1/s1",['approved'],small molecule,['A10BX03']
DB00188,DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1","['approved', 'investigational']",small molecule,['L01XG01']
DB09053,DB09053,Ibrutinib,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,"InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)/t18-/m1/s1","['approved', 'investigational']",small molecule,['L01EL01']
DB01261,DB01261,Sitagliptin,N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/t9-/m1/s1","['approved', 'investigational']",small molecule,"['A10BH51', 'A10BD24', 'A10BD07', 'A10BD29', 'A10BH01', 'A10BD12']"
