,drugbank_id,name,smiles,inchi,groups,drug_type,atc_codes
DB08439,DB08439,Parecoxib,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1,"InChI=1S/C19H18N2O4S/c1-3-17(22)21-26(23,24)16-11-9-14(10-12-16)18-13(2)25-20-19(18)15-7-5-4-6-8-15/h4-12H,3H2,1-2H3,(H,21,22)","['approved', 'investigational']",small molecule,['M01AH04']
DB00721,DB00721,Procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,"InChI=1S/C13H20N2O2/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3","['approved', 'vet_approved']",small molecule,"['N01BA52', 'C05AD05', 'S01HA05', 'N01BA02']"
DB04844,DB04844,Tetrabenazine,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1,"InChI=1S/C19H27NO3/c1-12(2)7-14-11-20-6-5-13-8-18(22-3)19(23-4)9-15(13)16(20)10-17(14)21/h8-9,12,14,16H,5-7,10-11H2,1-4H3",['approved'],small molecule,['N07XX06']
DB09205,DB09205,Moxisylyte,CC(C)C1=C(OCCN(C)C)C=C(C)C(OC(C)=O)=C1,"InChI=1S/C16H25NO3/c1-11(2)14-10-15(20-13(4)18)12(3)9-16(14)19-8-7-17(5)6/h9-11H,7-8H2,1-6H3",['approved'],small molecule,"['C04AX10', 'G04BE06']"
DB12010,DB12010,Fostamatinib,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,"InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","['approved', 'investigational']",small molecule,['B02BX09']
DB00544,DB00544,Fluorouracil,FC1=CNC(=O)NC1=O,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)","['approved', 'investigational']",small molecule,"['L01BC52', 'L01BC02']"
DB15688,DB15688,Zavegepant,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@@H](CC1=CC2=C(NN=C2)C(C)=C1)NC(=O)N1CCC(CC1)C1=CC2=C(NC1=O)C=CC=C2,"InChI=1S/C36H46N8O3/c1-24-19-25(20-28-23-37-40-33(24)28)21-32(35(46)43-17-15-42(16-18-43)29-9-11-41(2)12-10-29)39-36(47)44-13-7-26(8-14-44)30-22-27-5-3-4-6-31(27)38-34(30)45/h3-6,19-20,22-23,26,29,32H,7-18,21H2,1-2H3,(H,37,40)(H,38,45)(H,39,47)/t32-/m1/s1","['approved', 'investigational']",small molecule,['N02CD08']
DB00996,DB00996,Gabapentin,NCC1(CC(O)=O)CCCCC1,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)","['approved', 'investigational']",small molecule,['N02BF01']
DB13367,DB13367,Cloricromen,CCOC(=O)COC1=CC=C2C(C)=C(CCN(CC)CC)C(=O)OC2=C1Cl,"InChI=1S/C20H26ClNO5/c1-5-22(6-2)11-10-15-13(4)14-8-9-16(26-12-17(23)25-7-3)18(21)19(14)27-20(15)24/h8-9H,5-7,10-12H2,1-4H3",['experimental'],small molecule,['B01AC02']
DB05316,DB05316,Pimavanserin,CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,"InChI=1S/C25H34FN3O2/c1-19(2)18-31-24-10-6-20(7-11-24)16-27-25(30)29(23-12-14-28(3)15-13-23)17-21-4-8-22(26)9-5-21/h4-11,19,23H,12-18H2,1-3H3,(H,27,30)","['approved', 'investigational']",small molecule,['N05AX17']
